47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('Y_nkHYkQY4xEyCf9ObLZbg', 'Arthurs Landing')
('ovEkkMjdJJSq0zckbFTIQQ', 'DeSano Pizzeria Napoletana - Waverly')
('b9twNz1ZacfBIiYFrOoPuw', "Domino's Pizza")
('KGOFtZFxAZB15mUlXm39cA', 'Pasta Cucina')
('Dp-i-Ai8Ue8hjyVRmYrprw', 'Burger King')
('5TPyzmhr3TKyWkPfzm01wA', "Fazoli's")
('jFWP4KI60eZ65DIwKs81mA', 'Milestones Restaurant')
('1LELXxqe2IM2opJbi4dcaA', 'Centrale Bergham')
('1vRSIAJ5rlnSabNLMiOXeA', "Carl's Jr.")
('xB7bsOpJbnK9nHEZw1ARDg', 'Napoli Pizzeria')
('5FVTSx9CIzvA3i3AOVaj8g', 'The Tampered Press')
('YIbsxjyP2jNzoH9RlxaSYA', 'Star Mexican Grill')
('ElDUaC5ZRYjaolWHoIMyLw', "Francisco's Mexican Food")
('EryvpcMxoaOr_BnQVMqQIg', 'Salsa Cabana Mexican Grill')
('Ziqzfvpp2cpZAu0OwjiD5w', "Hamada's Asiana")
('tIaSKlJJ-NnGgbFVg5HW-g', 'Takara')
('oh-aOlWk7zIPFmxmFMoRdg', "Carl's Jr")
('Mwl79jLlxPQabA3yiSPz0A', 'Canton Rice Noodle')
('JcFyuyo0Rt6gDiVZ9yJ3VQ', 'Krayvings')
('UIU7tug_Y-qVv_aLt7NN4g', 'MOD Pizza')
('OLLw7c024G17K6RUUuKDPQ', 'Bien Maison')
('NkcT0GT7Xt2mtvIgHSxOcw', 'La Burrita')
('C_YHFEfNdxh2lGNNnDm-1w', 'CoreLife Eatery')
('F_ylMGAY1khjuuvMd5pgsQ', "P & P's Pizzeria New York Style")
('stC-tc9QArhPXSzNkvTpgA', 'Govardhan Thal')
('L3t7UG4cC1-ar1jh96c1KQ', 'Streets of New York')
('npWIa3dIPEV1MTaZNq6AUA', 'Firebirds Wood Fired Grill')
('OgpFnMfx1R_Aw4rZfLRuKQ', "Papa Murphy's")
('tSbs8i_9Hlaommupjgn63Q', 'Panda Express')
('A-IqLvBfU5Gr_b9HVLETTw', 'Pizza Parma')
('rxKgpoYKLOoOa9ku-OCQyA', 'The Place Steakhouse')
('G96S9vZ0zzZrp0yrdpGctQ', 'Subway')
('8Qz2nxwkjwhRxkeReQtcSw', "Jug 'n Barrel Wine Shop")
('sfuf1picFc7sVm2-AXYkog', 'Ground Round')
('gtWaCpu7mgRR-839S9oGBQ', 'Laziza Hookah Lounge & Restaurant')
('gkeGCryFC7z2vlFSDdKH0g', 'Chipotle Mexican Grill')
('UcjkMUsguCsYihmzjYdlUg', 'Mikes')
('o8k9D05WpwgK-8BV7OH-xw', 'Zykaa')
('ZztPR3OnI8hlKerG5e72hQ', 'Bar Neon')
('NQF7wgb3mHfMPzy5owzxxQ', 'Power King Hot Pot')
('QUPP3oVVmdrWof2rGx4HIA', 'Rocket Burger & Subs')
('CJkJqAA9U3EtO2ecwCV8Rw', 'Ee Sushi')
('7qhPK-ubBkYRv0Qs9sd4kw', "Chili's")
('FN-DAGpYvw7nWEcSpKdH8g', 'Burger King')
('A6A5NvLuI4Oe7ukMKhuhLg', "Jimmy John's")
('fsFiDcmG26_xw6dOQILEuw', 'All Grill')
('hSVaGIZzNCReeua-nDHLiw', "Let's DO Lunch")
('p3RUmQhsTjErcorfD6zunA', "Lee's Kitchen")
('avy_fjHQWNXRtJV-0ER7Zw', 'Cook Out')
('QXqS5SvHWcHdIDeH5n7pAA', 'Shanghai Wok')
('zY5Y1rYbS_6zrs1s5Ea2SA', 'Rocky Rococo Pan Style Pizza')
('zXb5pP4zMHvmusweYfr9TQ', "McDonald's")
('6QIzCTSZfXL3r2mIWn58bQ', 'Cafe Roma')
('8pgV-nqHdmxUFLWD-SDssw', 'ABC Bakery & Cafe')
('NQhPS0MUKJgBUB6PTLlmzA', 'Pho Bosa')
('X5ktZZOu3lcsb_XaJ-7NtA', 'East! Restaurant')
('spRvn4UnYH8cck8SXriGkg', 'Blu Basil')
('ujgpePdD8Q-fP1mPFnw0Qw', 'Peixoto Coffee')
('5k8kyvvReTf1RMq4jpayQg', 'Cafe Luhena')
('hT-jqfoH7hJXNyfshIWLJw', "Carl's Jr")
('S28n7eAj393k3gUOia7dIg', 'Taco Bell')
('Ae5S7cr7TlRUMLOa6E6f0A', 'Los Compadres Mexican Food')
('afTfGQIjeq3sRk_5zyQxuQ', 'Plaid Eatery')
('vwntGW400t5WG0ubjuaz5g', 'The Pit')
('fo7dUMSGvbBn3aa2df_KqA', 'Koryo Korean BBQ')
('kRIPB7GPTHRj3cktAKAgsA', 'Dairy Queen')
('9UMlYhBOj4IH_7MgqklqyA', 'Subway')
('H7_yu7MgzSXB0vb959yXdA', "Del Frisco's Grille")
('JRRduMZI2aU3UCjfNEQURA', 'Qing Hua Chinatown')
('Rd6Nk0rYburd6G21QUxa8Q', "Li's Oriental Kitchen")
('GS7BjPN1Af4OtUsFurxwSw', 'Moonlite Tavern')
('ES5KDuquIk2h4_VsgoUQMA', 'Hoai Huong')
('BmyRJmbVm4jGlkXg4ncLJQ', 'Fiesta Chips & Salsa')
('iNphZPJ8kjvjUvWK7zXkSA', "Domino's Pizza")
('LmjBZpQU7nJTIJZYRVO7Kg', 'The Counter')
('pRNz6EPc6ekD1lTxRZ3I4A', "Hoggy's Restaurant")
('2LNnIARy-lGmrlEMZSxZ1w', 'Great Buns Bakery')
('d0ofu934HpkhzIE-Z1xkQQ', 'Cafeccino')
('p_dbwXZJY--UNsHpvdTzKA', 'Red Pepperoni')
('hjvPxyxPLFOCxdNm15IDug', 'Zoup!')
('Y91-sIlVyH6v4YM6sTINAw', 'El Pollo Loco')
('ovmiYky2Ubb43haQajY3qA', 'Derby Restaurant & Bar')
('mS7lIPlmNqM9QMJB70HgYA', 'Starbucks')
('aAeRmk_Z-wxHnhur4wD2Sw', "Caesar's Steak House")
('H3Gastz2T6iiSRGmlbtoXQ', 'Stingray Sushi')
('5AC2yQzEe3iRGrsJ0at-8g', 'Reverie at The Park')
('CoyeXg8FBsS_d20QzNIy-A', 'Makers & Finders Coffee')
('1qX9sDqGuG-6TKqsqDIC8w', 'Postino Cafe & Lounge')
('bPvDb51FWLK05nTYdd3ugg', 'Soho Bistro')
('y4AInkWO32vEVyok3fvhyA', "Da Fino's")
('Cfz7LhfiUl-5OrENoStctg', 'Dr. Laffa')
('7FLmfV1Ena0xE0Ew82C2Xg', 'Einstein Bros Bagels')
('zfmLt7AK03Q5QrzUFKCuaA', "Chili's")
('hUtc2gE-UIcvoQ9tXUJMUA', 'Golden Place the Chinese Restaurant')
('79cDBLMfxp_PLMretQwIOg', 'Sushi Shop')
('bumnC6L2ZL2mLk8srO2deQ', 'Wild Wing')
('SwrRrGM-clSCBqC9aZJ1KQ', "McCall's Heartland Grill")
('-Vy76Xk7U-dDqmzgmb2rug', 'Ginza Sushi Restaurant')
('OJAbwtTCI2eo2nKz4cnW4Q', 'Café Marmelade')
('ipM9uibOguP7Jgfpo5d9Gg', 'Cultures')
('Q-HDnjHCywb65thAB-f0nw', 'Grand China')
('zZFf54UIKSTyAcszJ0Avhw', 'Monona Garden Family Restaurant')
('d_L-rfS1vT3JMzgCUGtiow', 'Border Grill')
('LRpFWbovjUShlvCKQOS-Ng', 'Yui Edomae Sushi')
('p-sAj41iE2EtZZ-SmYVdGQ', 'Socialito')
('Rr-Tl3e39k1UZj-q9uXDUA', 'Ripe Tomato Pizza')
('PK2xVV2fqbWFrmtL8J99ig', 'Subway')
('eEHUmHKx5pr86f3DEM6pJw', 'Port of Subs')
('5WhDd9MnacntXYURmvgMZA', 'Asian Garden Express')
('udh__7erx4PuM5quw8zuVg', 'Istanbul Mediterranean')
('3M9zgL7r7wDcrx6MP63Vpg', 'Athens Pizza')
('xvWNuKzFoZTWpznbxYM1SA', 'Los Armandos Asadero Y Mariscos')
('pvrTxY4WCE5DfHAIMLjSbg', 'Subway')
('OTcBXjDkViDPds4Lxy8KIQ', "Carlito's Burritos")
('K_Vu8E1TJb1BDLSuLEcduA', 'Los Mariachis Mexican Restaurant')
('6Vyp-9i1jzwK_bvisuPJpQ', 'Lobster ME')
('3mbexLtpZcopAsgWmrJjVg', "Michelle's Diner")
('Yiz7HJDqLeUfXNfZ_OCq0g', "Old Dixie's")
('2hK5Cvo2JixFv2_neenrMQ', 'Com Ga Hai Nam')
('CdxWhFBtjl0LBqlQEfxX8A', 'Pronto by Giada')
('azIZRqX_1qbp0_6GKSgSAA', 'Japonais')
('k7Sy557_ZaQSGHFlZgeJzw', 'Weiss Restaurant Deli Bakery')
('ykIr_pL6Ukw18wWAD9M9Eg', 'Nak Won')
('a9strREjmyUp961wdhhA5w', 'Taco Bell')
('0J9lSi-jNa6FLXI9sTNpZQ', 'Panera Bread')
('9pQsVUScSzreqYLU7p5oaQ', "Hardee's")
('USXA_daAmAkcEzHju4Hpqw', "McDonald's")
('I1OI6IfSpRAEN9822s6aag', "Marco's Pizza")
('vY8-P5aeFO4xRoH_mUfQ9A', 'Barrio Cantina & Grill')
('0L_0GvX2zBikainbpicjNw', "Chachi's Sandwich Bar")
('nL1FdcNZ6liuQ1odNNWVNQ', 'Top Shelf  Mexican Restaurant')
('30QeX9bXmjYqrhZlpomFsw', 'Pearl Express Take-Out & Delivery')
('HgZXTsuVlv-6RuxMGAXDow', 'Bistro 360')
('fpt-6ElMKHGsY2guApVdnQ', "Conde's Mexican Food")
('YF59AbQC38Rneq1Bfb1y4g', 'Cora Breakfast and Lunch')
('8JxhnIJyOOR4qpqhRr0eiw', "Carl's Jr")
('Kl3mlPM1YeGQjcekJ1vZiw', 'La Campagnola')
('xcmmTXhuMx2fZF2Bt69F4w', 'Point Brugge Café')
('2SbyRgHWuWNlq18eHAx95Q', 'The Midori Japanese Fusion Sushi')
('8tKd_PdemW5A-6dCbZw9PA', 'Burger King')
('8tPZJ5XSBb2jTcxsytpCyw', 'Pita Paradise')
('SUaEbsKFSo33idJzQ9Dfjw', 'Lake Norman Cottage')
('meIoY_9NhN8ttxL7ZcpEYQ', 'Burger King')
('5Lsxduqp0Cx2sb2T-B-F6g', 'Siloam Sushi')
('t1l8NHWJwMlAccb4cJlDRA', "Angelo's On King")
('zCrjPjc4QFil2R4-H7kSTQ', 'Argentos Pizza')
('VCncaRjqC6ZqUG7jAnODJQ', "Alice's diner")
('Epwt4GmZtz1_roAjzqsJmw', 'Pizza Nova')
('_q5KRey0wfvf1Z7yTjGMuQ', 'Yofflers')
('IDW4QFw-fN_wk81G9OV-Mg', 'Nothing But Noodles')
('WNvceXcngWjZz_IinDwYwA', 'Panda Express')
('yo8yB3hdqvbvj8huzXpKWQ', 'Polaris Street Cafe')
('fr6ojHDZYrpUQl7kVGuVJQ', 'New York Pizza Department')
('IK05Hv0FMQq0pbe_lq6_Zw', "Chen's Restaurant")
('rEEwENFmJkZRBDUjslZF0Q', 'Kanda')
('YYWkJwfO1HApuHiW-8eq7Q', "Stevie's Pizza")
('waT5bKkbYJceDpyhzSVPlg', 'Waffle House')
('oejQ4bWsJaKszf98xjNrrg', 'Abruzzo Pizza')
('9f5RGQpIjiVPY4h5ppj1yw', 'Mission BBQ')
('zcDweMx_fdJ-YWuxUpg6-g', 'Canadiana Restaurant')
('2YDCiSR77FZV5_L0UcaGbA', 'E2')
('d0_yLkH7u16tlcvvU-zIxw', 'House of Pearl Chinese Restaurant')
('rkQEar8WP8gNtv-OPvLD1A', 'Moosehead Hoof & Ladder')
('k_HDSmO_GX3ZBdMHtgrKCA', 'Quince')
('WOQNQx7SrMalJMXFENitpg', 'Ravi Soup')
('Nb1bzyHN4uGj6h1rNugwdw', "Domino's Pizza")
('HUWLnKD5LSZY134amUO2Rg', 'New York Pizza & Pasta')
('ZjBxTDmt78bLEN5-5SfPIA', 'Rivas Mexican Grill')
('q8MUVVuQpfR6v0HBHmAFxw', 'The Combine Eatery')
('430DW6yItFj3iB710i1a8A', 'The Gelato Maker')
('XfO5MZI2lH1U2HsMnIsYzg', 'Noosa Bistro')
('zRGCIIez1z4ve5Hppa7eVQ', 'Mei Ling Chinese Food')
('127lSDZ1lvVMrhEet6un5Q', "McDonald's")
('wakI-46P1BLMnf4zdH3V2g', 'Westwood Grill')
('LOdeVw1kMh8CLx4mtWvX4Q', 'Jack Saloon')
('YBWG4INShu3tvinpD2fPOQ', 'Sa-Fran Bistro & Sushi Bar')
('C-wwhNT05pnpPPMWnNWybA', "Bistro l'Évidence")
('TqcynTkmvUceKUHOy2GBeQ', 'Sports Deli')
('ae95XSsD37OQfOWF92GjNQ', 'Dragon Legend')
('nf5TyybMCa_2PL5v_Pl9pg', "Harvey's")
('cJjUslSTMtUU2lG8BKCX6A', 'Filibertos Mexican Food')
('NO1vC6NTSR5mXUNBguM9Bg', 'Kimbob Cafe')
('PbKtESCHEQ5gDyEdclVd8g', 'Bollywood Restaurant and Sweets')
('nWD8OWd_DAXGubGpFenmiw', 'La Hacienda Restaurant')
('I7eqTdTmRTWYwF9HNZAHxw', "Tottie's Asian Fusion 2")
('IEVrILZ7bkuJMYKsbAfWaQ', 'Sushi San')
('VF6al3kAVLMtXNnscPJahA', 'Bellwoods Brewery')
('QYfG99LsG7jtnIWsxW3qZA', "Domino's Pizza")
('CQandyTihM0EvNlaG5-FIA', 'El Spero Family Restaurant')
('Q_RpxG-YEMOk_yniWZfHCA', "Bojangles' Famous Chicken 'n Biscuits")
('ANSvcfBF84sXHLEEoaBypg', "Blaze Fast Fire'd Pizza")
('9q0s7-EfafubLeLUJg_7BQ', 'Las Pupusas Restaurant')
('cSIt_NA2mQAmL_sk7f7TbA', 'Thai Express')
('ew6KD-BxfhfgAh6SRqeFtQ', 'Fusions Seafood and Soul')
('nn8RDkUz0cWLcEhuga4f7Q', 'Handy AZ Man')
('BORPULADzZV6_LJZzcsywQ', 'PBR Rock Bar & Grill')
('VL2C7v0Kq8ZlMQd_Wh3X3Q', 'Sonic Drive-In')
('oOewMr37zSjA6yoCKGayxQ', 'Pueblo Real')
('0PM5oFKO29sZmL5efmHxug', 'Chinese Dumpling House')
('GQevJAnl6DWg80PJuOyX4g', 'Aspinwall Grille')
('GWwa6DzhA-Z2_BDZbunYPw', 'Katz Deli')
('zMnev6ayIxndjTKTazMcpw', 'IHOP')
('8ys-TIaQkgc0K9FZzzPKWg', 'Pizza Hut')
('Xicj28MvrVjFTlS787eBXg', 'Santorini Greek Taverna')
('4Oqq6x7TA5TDvwwnckvCGg', 'Floor 2')
('NSa1GeogQMuzxcg0iw_SPg', 'Subway')
('mygLP5-SCnQwIev6LU9gWg', "George's Famous Gyros")
('qiJmEKd2z_Oc8UUNCplU4g', 'La Crêperie Bretonne Le Triskell')
('WMLuTR0IcCX7pNh_zz6oOw', 'Globefish Sushi & Izakaya')
('H01GSlxKlveC8CPMnz4Gxw', 'Laïka')
('SqVIolLCBmQYyKeai3pCTg', "McDonald's")
('z2WGmF4fu45kp_jtyuybeg', "Dickey's Barbecue Pit")
('LrXCjkhXDe1_nYDas1U2Gg', 'Naha Sushi')
('r7ZGCngFzAhcRZjg3XboDA', 'Double Pizza')
('BC5MXeRMkw4jheSb-GVQBA', "Leena's Food")
('GqGVAE3kbEW46FU1LydVUg', 'On The Border Mexican Grill & Cantina')
('2e5Q-0Pr23NFEhgpYG8cFw', 'Crepe De Licious')
('RYClIlSwSPpaptR8tOF0AQ', "Lacy's")
('rI1wtjri4NhO3V-hCsMCiA', 'Tacos El Nopal')
('lcBqrThg5onr6IIsxMQZ1A', 'Fatburger')
('_05kkfNQcAsj8eh-9wzI4w', 'Cheeburger Cheeburger Express')
('TaDp2EiNKqHhAp21xIoggg', 'Hunan King')
('1hkksm102yQY1DyfTPSzmA', "Monti's La Casa Vieja")
('DKrGFydT_4CrxM7iM2qm7A', "Long John Silver's")
('9GWfMAuAOlkt4MAZ4eZjlA', 'Heavenly Espresso')
('L4WXLHf2p_qoLgiPwzTSgA', "Hardee's")
('qu5COxaKxchFUZ6sh1wMDg', 'Makimono')
('bAlR0DN2Y4Lo_vSGJC1xLQ', 'Subway')
('CbwyXSyieSM3kO7brRlyHg', 'Cousins Maine Lobster - Pittsburgh')
('sbOlgkiKttP4Cq_p6Z-f4w', 'Saz')
('wWFvHY9YVWtyfCsDO8jQiQ', 'Quiznos')
('MvqcAg955cxkeoM6EZ3C6g', 'Tree Top African Cafe')
('0mj6WOkZnwrdcWYlGVJC5w', 'Valley Fields Restaurant')
('JLz-Z_tGhP_nlUkZHE1dJQ', 'Peoria Donut Cafe')
('b0kFTOITzkcbOUnFH4lRxw', 'Ontario Restaurant')
('nV0DXQHOZ-5ebM3-J8O-kw', "Rudino's Pizza & Grinders")
('Y36tFpneLbaVt9p0XL4aCw', 'Mama Sofia')
('Pb5AfEWAB8GWlHyy-p-l1g', "Nino's Mexican Food Restaurant")
('TJresValKB2aHcmrwNEskQ', 'Djerba la Douce')
('npoZ4E175B4Exl1Hb5YHNg', 'City South Pizza')
('Vd0MqEllhqMQmZVDsTTzAg', 'The Samuel J Moore')
('-8Oaw94x2pYJCVP8ZtuTTw', "Carrabba's Italian Grill")
('niKwlIH1RUMUkEGNhkWUTg', "Zoe's")
('oBV3u6XoPF6mTy8ih0DopA', "McDonald's")
('Mh2syFX0bG-7vylKY9DE4g', 'Cheba Hut')
('Pw06ajii6di7QHYpj6IgkQ', 'Mucho Burrito')
('aF7hmanAzLZjL04Ef_nfvA', 'Frais Cafe & Sandwiches')
('Ai08H2elhDzuu7LiFAR24Q', "Flipp'n Burgers & Breakfast")
('TThMGJrIlO2DTnajFGDlww', 'My Big Fat Greek Restaurant')
('BosHv6PCo9rLGYc6Iu6TyA', 'Sunset Grill')
('c7lAaz-pW58i1h1rSlyqcw', 'Republica Empanada')
('gKcZz5C32N7llrQst4B7_A', 'Subway')
('eTSDLmdRkhynYxSQlDqS9g', 'Aroma Espresso Bar')
('Djtia8uteFe-zc5UNbB9Dg', "Speedy's Grub Shack")
('XYbS1ybeU4vBgE5Nd6ow6w', 'La Belle Province Milad')
('U7LDMV0FXTuCPPBRnECuGw', "J Lynn's Cafe")
('TQPxHfKykLLG6echeHru-g', 'El Rey del Taco')
('RoGeo_pQ1TQc6Lyk4CSDgw', 'Table 51')
('XQfq4tmOHUSn2vvjNj-zJg', 'Texas Roadhouse')
('yGKoVKyyo-qpoZDcpM39uA', 'Subway')
('0-ZA4TTKlHYGIQJj06G0-w', 'Loaded Pierogi')
('2TOHBzm9VpZyZx73LanN9w', 'Subway')
('8HkQI_INY7tdKRLVHtfD3A', 'Deli 365')
('R9cM1tmBkQ03lnbE_a-U4Q', "Gal's Sushi")
('CFGmRESf9QajghUrc__akg', "Samurai Sam's")
('0NT3Hhu2RcAmFKBy2BiRmQ', 'Metro Diner')
('zTkMh_RUVZW-J3lh7-l09Q', 'Pasta Cucina')
('cXdQ3H0GqcIzRgrvBEaBxw', 'Noodle & Rice')
('TLWZK8NIpn4zI4_yut-q6Q', "Luna's Living Kitchen")
('g_x5lM7itVvWA9n34QVlFA', "Redendo's Pizza & Pasta")
('B8GKsrIRRLChyFioejPINg', '.99 Cent Pizza Place')
('ql0AaBp68ckekxvWOF8xLA', 'Cafe Fifth Ave')
('Ca-ih2GH_WU_antKSs4mjA', 'Bricco Kent')
('OGMWhyH2j6BqApJ_xLRd8g', 'Restaurant A La Vieille Cheminee')
('SjLhCBgkEpZyRxXA7GgrgA', 'Mercato Fine Foods Bakery and Deli')
('x1IPOlH_O5D3qZdZo6YyEA', 'Florentia')
('dMfUVz6Ea5yD1UfH50wQ3g', 'Ten Teppanyaki & Izakaya')
('0fV8EXAdtjYRzffr70J9_Q', 'Franciscan Cafe')
('iZleRh4SOtf4GquA5L8WXw', 'Crane Alley')
('P6paPwtYXcwn4vbSXViIaQ', 'Darbar Persian Grill')
('Sr1b1EK8Ky_c3hCzvjtftw', 'Stouffville Pizzeria')
('1VDP92FU2p8AqJw9vU11sw', 'Lakeside Bar & Grill')
('PRbIMseOwPCCRv5C4SfTDQ', "Lucille's Smokehouse Bar-B-Que")
('LEzaRCdhDfO2eM75HZNnUQ', 'Blue Sea Sushi and Izakaya')
('5h2DIYpfzc7KDTFg18uuew', 'China Rice')
('IsoLzudHC50oJLiEWpwV-w', "Chelsea's Kitchen")
('aYfHXWNjLNUVoQa5CMA2jg', 'The Juice Standard')
('IkkongyT51hv-f3wzIgf0g', 'Olive Garden Italian Restaurant')
('sJV94ObovJGTZIA_nWQzsQ', 'The Dog House')
('2GEr8-FpENQQPdmCrIWMYw', 'Funky Food Shack')
('CyD8N5MwM93JkcfIVkhNfw', 'Bar-B Barn')
('uPwZUj4Hj-fHz1TU0LJJmQ', 'Simpo Sandwich')
('X_Pg8SvGGYhCxwWRkrUv3Q', 'CoCo')
('c-NXKTJ0jrrusTPxJAUwvA', 'Red Robin Gourmet Burgers')
('hZkXGZHKaes2pmv_gDk2Tw', 'English Bay Fish & Chips')
('j7ooAJoKOgjT1_ARsFECZg', 'Kabob Empire')
('XZbuPXdyA0ZtTu3AzqtQhg', 'Mesa Grill')
('89JOFyRj5uFdK6DvIRfd5g', 'Sourdough Escape')
('uM8bJAZ2BHadN4NPNzkaDA', 'Ratcliffe On The Green')
('alFUbO9iXROUPcApQyjduA', 'Golden Lake Chinese Food')
('r9274utz94-FsCFEUPNWag', 'Peter Piper Pizza')
('gd3f9uJN7kmGOD-lRpPBEA', "Domino's Pizza")
('ByR685ThcDqQ_bb4A1oj_Q', 'Tea N Bannock')
('e53Fsnz4uf6seDeU7Q328g', 'El Camaron Jarocho')
('azWimot-jZpFVc6VlmjP_A', 'Shanghai Club')
('kyphxFtMIC6w7ktg-fwxWA', 'Panera Bread')
('pTSZVeKu0Hykw2I0blwmPA', 'Panda Express')
('wA2Ac7IbtrTVikMRFDQdjw', 'Pho T & T')
('x0qfyUvSwIDMYgWL9Drd7Q', 'Tim Hortons')
('6M5WG1Hp38dsYkK77S-bzQ', 'Yogis Grill')
('7vqsCTpH_QFomi0Q_URf2w', "Wendy's")
('_hML_SleB40KkUrMHOZ_-Q', 'Rx Boiler Room')
('r0rtl4OsZy-F099jeO_DKA', 'Paradise Bakery and Cafe')
('_-mGxo3NxooLN7DQWlvTYA', 'Fiesta India')
('3fcG_zuWKeoC1HR5nS2pew', 'Door Fifty Five')
('pdE-moDQznZL4sUX-jGKdA', 'Farmhouse Tavern')
('RMjCnixEY5i12CiqnskiVw', 'Four Star Sushi')
('Z7wRR6quxlX3A7zSAceVyQ', 'Sultan Shawarma')
('bOJrPR_G0eDzpw8rGEi2mA', 'Mr. Hero')
('kU-PnJKZfYycGfHYE719Lg', 'Popeyes Louisiana Kitchen')
('4_owAW0P114kJyEkVmmQDg', 'Kol3')
('LXyAP1vxS0aytLkEnrwpSA', 'Señor Taco')
('W3h2jT0S-0986_B-ETFKmA', 'Del Taco')
('WLX-1Tb0BK9u3374SWxR0w', '9 Thai kitchen')
('AQKOuwrOCacAhd-jfFMABA', "Carmine's Pizza Kitchen")
('79ElnhBm6PIEoRgd9CaJ8g', 'Tim Hortons')
('k5WJVoO5WIv8XWjKTJ6vTA', 'Corso')
('dRT7tLyakasIjJ4B0Fm92Q', "Dean's House")
('Q8b36PEPL61nxeQDcLBV7g', 'Scoops in Bloomfield')
('RIHydChuDTrfuuvr8TzH4g', 'Castle Coffee')
('HawQd9jn10fJRGHxYZJLSQ', 'Restaurant Eggsquis')
('3uOxuJUnx72b86-3NKhX0A', 'Kyoto House Japanese Restaurant')
('zb_u8ulJrb8Dc5dA_zoTOw', "McDonald's")
('_qu6EHzJVXHRhA4-2mGFrg', 'Uncorked Wine Lounge & Eatery')
('rXULENMtBohv3485zqG0XA', 'Crust! Cafe and Pizzeria')
('JFhfVTt_8xNjtwqSD-raIw', '5 & Diner')
('YnrJNjZsLIhvldYHtkxKrA', 'Sushi Factory')
('YHdomaSEERcqoZZosInmPQ', 'Red Square Restaurant')
('nfUdE7FHuRNGsRw0hmEqtQ', 'Angelos')
('w4uc4nDwm-C-93G0BOV2pQ', "McDonald's")
('bltn4FTcuRJY5IfiIIDINw', 'Subway')
('iYMnlr51o9_4Qw-IuWcc4w', 'Jakes Bistro + Bar')
('txsL_YPn8-JtpkYjtXq9mQ', "Filiberto's Mexican Food")
('xJ2lROQNMo2qEkyEl10_Ew', "Filiberto's Mexican Food")
('VTHvQmIJ5HabK5iDXxdllQ', 'Summit Coffee')
('A49jCMzZXswmSAZqZUAi8Q', 'E-Tea - Bubble Tea and Singaporean Cuisine')
('IXZDJEk9ymsEMDGj0-A5rA', 'Agora')
('8P_1BfqBW4HnRYOJMUpneg', 'Pizza Hut')
('a2xyksktOSGc4NZSQvJ2Vw', 'White Heather Scottish Bakery')
('qFZ7ReYNpjHuvSxOqXqHMg', 'Sumo Sushi 2')
('70lJWlEwoW09T0S97dffQQ', "Fazoli's")
('EV3B_P-mwWlMxEUCMUDWdg', 'Subway')
('px5RbIZm3rxRzi-g2f83KQ', 'Burger King')
('nhfvM5PU9GRx-mCWHrGpMg', 'Tipps Thai Buffet & Live Cooking Station')
('GxQGCl4hX6nbRdSYH9egEw', 'Meat Chix And Wieners')
('FC6nFLSKFOySkxNEIc8nhw', 'Taco Bell')
('KiTHWMK20GvgPvpHSzTHTg', 'Chipotle Mexican Grill')
('UTc9QKSXd-UxaDjDIDUmKA', 'Nyood Restaurant and Bar')
('SQbJgExVsJjc_um7Hed7fg', 'Subway')
('UQi4riVGsPKCW04I-BiRQA', "Arby's")
('9d3xGYst3o4KhDwhF2dFMg', 'The Habit Burger Grill')
('KPKQLzVKqLgEPKOWrSCRtg', "DeNunzio's Italian Trattoria")
('UGy0QULAPPRcOUJQSiRmGQ', 'Tropical Smoothie Cafe')
('acD0l-j5Kr-edoO-_tcbyg', "Baby Kay's Cajun Kitchen")
('AuWFn084piPDQS3T_THJIw', 'The Cafe')
('GfYzz2Dnnn0CqeDqROAKTQ', 'China Inn')
('pAbbovbMbrhU1I7m8cl8Xg', 'Trattoria la Villetta')
('TgteGWES9IGPlSniuWERrA', 'Nickels')
('t6WY1IrohUecqNjd9bG42Q', 'Red Velvet Cafe')
('8UH1z6wfAwpax4o1slD9EA', 'Chopstix')
('Z47kPgBvVit8HtyyDiw59g', 'Bistro Duo D')
('wAcmbZyRSwp3td-4Z6BvWQ', 'BRGR')
('K99GG6-YZp5JbIe4oPbRsQ', 'Cave & Ives')
('og3pzv_PuT9cSYbiYzoB2w', "Enrico's Ristorante")
('TrWGE-FUlvwQ2HBSycEkCg', "Stella's Cafe")
('s_LBvWoe1Vsfhw3vdmiLuw', 'Chinatown Restaurant')
('vlc_yP8dfz8CGE6JRMKBZA', 'Sbarro')
('xj_e89ELbRgagd7xkdb0Jw', 'Ben & Florentine')
('fs_-JDwKyVIc6iCXnpUzgw', 'Hibachi Grill & Supreme Buffet')
('nrrBpUG6MTAJrm1Mp5WcCA', 'Robert Emmets Food & Spirits')
('2jCAexsllJ9D8R7Dl7_LJw', 'My Greek Corner Restaurant')
('abIpel3j-MAAW4EzsRRl9w', 'La Fornarina')
('MVHaUexefp1XbqDw0_YYqQ', 'Maple Street Biscuit Company- Concord')
('ExX6yi399m30ih8yI_crJw', 'Crème Café')
('I4Gbdz5RizunE-RF2w3zkA', 'Villa Pizza')
('eRjcli4nDHRwhByViUz9Ow', "Rosati's Pizza")
('MTasygZc2fP3rbuLuduIjQ', 'Aroma espresso bar')
('atu9bo2flyoM3CzihE-OlQ', "Wendy's")
('uuSviSjm_dR2K30C_2_STQ', 'Holy Smoke BBQ')
('Mi1IdbjqjGoYK09oDu8JVw', "Yu Yu's Chinese Grill")
