9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('U3qe9h6I0zL2_C5m3-p1gw', 'Shakers')
('_amNzkQQRLBHO8gh5LD9Cw', 'Port of Subs')
('uGzxwS3Q6QuyFw2ZnDvw0w', 'JackBeagles')
('OeQUmob9q5sbEixK2-Tozw', 'Four Peaks Brewing Company')
('VIG1MhUSl5FFBJ1KtCFqBg', "Papa John's Pizza")
('lAXvPp580Puo-BPlbE_o1g', 'Les 3 Brasseurs')
('qYf3gGP4PYZlV5CcQlorwA', 'Sin City Wings')
('O1aOpTSYbHmyV_712z5fsQ', 'Pollo Campero')
('Wsb_rH2xNmMOdmzyb7eB7w', "Crazy Jim's")
('Ktia9NJfvxVxTLVcEnw9zQ', "Carolina's Mexican Food")
('LVAXy83j6H0gfKA30ndGvA', 'The Edmund Burke')
('lLxtE1zeVm0Qm5NYkMvqZQ', "Bojangles' Famous Chicken 'n Biscuits")
('6HdzmAatFoB8UDep4n9QIw', 'IHOP')
('zyw5DjrRks7a8OhmBsgCQQ', 'The Pour House Pub And Kitchen')
('-dy1d0ohs4D8qkJoenHNJA', "Tapp's Bar and Grill")
('hiIxnbmnl9Pyy_PPzbocrg', 'Roti Stop')
('kJdIaFnq9lcMOBjhjDtgFg', "Tommy V's Pastaria")
('-Gh82g_IrQxW59zjNaCldQ', 'Cafe De Khan')
('X2oxkKB-wlu8xV0P8fbfiQ', "Mo's Chicken")
('sPwh9yiJYeyAN4CBq_tUYg', 'Hickory Tavern')
('AWWqMTqLx9EYyYHOwZ8yBA', 'Device Pitstop Henderson')
('Nm-45TlwfszqbJtaIalbtw', 'The Sets')
('A_wn7gdvQAv5F2-0CBjgEA', 'Buffalo Wild Wings')
('YSEW66iMAheOH1x6YYZEPA', 'Viña Veramonte')
('VCzxfiTZP66V71j4r1ZKxA', "JB's Smokehouse Jerky")
('5g5iV8w6SK9KHtcbhwGirg', 'Old Chicago')
('mi6hfuuXCjY_Q5886BOZfw', 'Mak Delicatessens')
('bINwYZHW_KUWdqAlfBh_Bw', "Esther's Jamaican Food")
('U4ncU-YfIipnTetJDZLGlw', 'Gogo Poke LV')
('jQJYvzUFsz9ytI1AzW0dyQ', "Applebee's Grill + Bar")
('XTdjc6dQXk3vBYi6f-S_uQ', 'Champions')
('kDCWJ5ylZ23ZqvZOGsW8rg', "Raising Cane's")
('oTHp2ujlKr_urPRBj3Rn8A', 'Richtree Natural Market Restaurants')
('KjOpQ4QCf-sk_dbFJX_52w', "Fido's Kitchen")
('lqtybK6_GjSqhK8U55Mc7w', 'Sa-Bai Thong')
('EMHFX2g0xHTKy0RRujkxUA', 'Blue Goose')
('mURFkV4ZFTxNCLApbUox8Q', "Aguila's Hidaway")
('1qOxjcR4x8JzLFjRX0rvXw', 'Stuft Gourmet Sausages')
('r35uf3EWEfpMo2ET98SPnA', 'Tartan Express')
('7ExQwvixD7FhnBRFVhpPcA', 'Putters Bar & Grill')
('3YyG6npW4_PbreY6lGwmYg', "Zeppe's Tavern & Pizzeria")
('MLGug8sDqdwtZOdhpNYiEg', 'The Hub Bar And Grill')
('89-bwvH5mWWOOb00VTUyFQ', "Applebee's Grill + Bar")
('Yg_erZ2xWHT1k0HW8FWzLg', 'KFC')
('PZl0AkAu3S5kqeIUrM4D2A', 'Denise')
('C8D_GU9cDDjbOJfCaGXxDQ', 'Culinary Dropout')
('bzCEZKU1qULZNsT_mlIT4g', 'Ava Food Market')
('rF183_3e0ybElRKdNSwJqQ', 'Twin Peaks')
('lAR6Lj6-zBxQNqflZt0zTQ', 'Buca di Beppo Italian Restaurant')
('jKAi0zRpDcwCYipM8nlq8g', 'KFC')
('TpKQh8deczg9IXChAPw49Q', 'KFC')
('_glMJT-AR1vNt-eatEdyeA', 'Native Grill & Wings')
('oByMSv0dwOfHsGfjj0oZxg', "Beano's Casino")
('ccVFmV2l3xPS4CCcLPwpkQ', 'Gooseberry on the Square')
('Z2L0j0MZ9m0IwaWmcvnxGQ', "D'Arcy McGee's")
('lpguFrfDM5hRVPj4Alokog', 'MARKET Calgary')
('vVDJEs47RMDBHL3ciEzHSA', "Peppino's Pizza")
('dkrWH6vG9SqzLRzC3rB10A', '1909 Taverne Moderne')
('fJ7uw4dDFIga57868Oz1EA', 'Fox Smokehouse Bbq')
('VUpgXlGTIZ3HLKQYdb8-TQ', "Divot's Sports Bar")
('JNHtdEWCOreJ_S_Fj41bqQ', 'Mr. Jerk')
('QCyDprsl1hgTKhnLPJ2m3w', 'The Stache')
('p2rcmG_Qf5JFdXmqxWkgwQ', 'The Cove Grill')
('z3bUwDC1wUPGeIB8Rt90wA', 'Layers Bakery Cafe')
('PYrA0thkuLCVAknUHYhVEQ', 'Big Jerk')
('Ug3Vx26eIrgUS5FJIPj-ng', "Banushi's Bar and Grill")
('UeXkEMu-5nTmZGrgoqFdFQ', 'Sir Joseph')
('WJhhjBkgS9FtXET_EJ1HTQ', "Dickey's Barbecue Pit")
('zq68Tu0QywNU7Si_SQMi7w', 'Sur La Table')
('7VKpGSfELQAkzeSbH2Ka8A', 'A Taste of the Islands')
('Dy4jpdmBgLZRPA1IgMeg1w', "Lucy's Sea Cove & Oyster Bar")
('uEqkWCzfywBb8hCHhTquIA', 'Il Pizzaiolo')
('93-PZY0JfAoj9uP2oOC4Ew', 'Los Chilitos')
('A2eA3LRbptrexCGw8fu67Q', 'United Lunchadores Street Gourmet')
('a6d7UcYnRvbr4t-THg4pSQ', 'The Pub')
('jDQIKfsfJU3M8M6n0ESKFg', "Carolina's Mexican Food")
('Zva4vS1WEGLo5U04sRhRLg', "Nick's Gyros")
('g2Y2lnMmnOouvivEie9myw', "Church's Chicken")
('5MNZPN-tFV-GfocZgSlD9A', 'German-American Social Club of Nevada')
('XCTnWhsQ44abjcT9aZxHGQ', 'Safeway')
('eWk3TkAKMSm3BMoPOm6yzw', 'Le Barbare')
('4XoQCVHMFjAQ-J3yGSXRDg', 'The Red Pepper Deli Cafe & Catering')
('6JnLqZGI7N60dKBEhnCgzQ', 'Belfry Gastro House')
('V5ywtJvMBC9k7ev8VDSEzQ', "Ranchmen's Club")
('PxKJTQYsiy4cFKPX_GmCwQ', 'Caribbean Jerk Pit')
('TgjgHz-QRrv60QKYZ-qmMg', 'Les 3 Brasseurs')
('_J_x_RaYTqAqAuCwgRhnRQ', 'Kabob House')
('kRhjWeAPs-U5RmakIKz0Pg', 'Tyber Creek Pub')
('dJsp8s2GAW5tsLWLc1BIQQ', "Original Joe's")
('cvzQ5-wiub8xlDcqJaLxIw', 'Decanter Winery & Lounge')
('OEfvfMCJyC5kRWeRQQYQMg', 'Pacific Mall')
('o_6kVoK4_0IzLIfe4GZkAA', 'Marquee Beer Market')
('yknng5W7ycI4JFHcSRgjvQ', 'Blanco Cantina')
('aEH2WZFMzLcbJmTiu1urMg', 'The Baltimore House')
('5AiEVfvqQkUaUhN45CjSIw', 'Stein Burger & Koop')
('PJnrRUbeUod82qAjW_8J_Q', 'El Bohio Tipico Restaurant')
('jqUiYSsIHS6Jc1sSsg9d6w', 'June Harlowe Foods')
('Ys_5p_5V7UHTbNIfYtoQ2w', 'Lil Organic Kitchen')
('bo3SQVtErnMOqO6lkxWdkw', "P J Marley's")
('hAlQWeTPcQRqowYGzaf5ag', 'Bob Evans')
('3U6KnoF3T-xC5wtL-Xc8hQ', 'Poke Guys, Markham')
('PLUdxLiRUSQQfdcHPq2-Zw', 'Smoked Up Meats')
('i68lkBrGgUVwOk-LSvMj_A', "Sree's Foods")
('xce3UaylU70qxdsn76JA3A', 'Pension Bergel')
('jUF7BSWB2s7Xgp5PbISbsg', 'Caribbean Hut')
('_wFVCGOLzhkjwNSMz9n9NA', 'Fort Calgary')
('XIDhO9YAhsCa0upSkMhGuw', 'Viva Lounge')
('m-kyYtxJ-0J3yuGsAoAWtQ', 'The Wicket Bar')
('Tl_jT2a0bRMac5_YW65GPg', 'Buffalo Wild Wings')
('ye4WnwnMd6xWK22AoEa1oQ', 'The Cat Pub & Eatery')
('Q0HAhn2Pi2afILbtiPvlIQ', 'Ahwatukee Country Club')
('ry-FLqYclt7okJbdYcmOhw', 'Sahara Hotel')
('NwUyGwrVOJERJwLpT4o-OA', 'Boston Market')
('-Fq75GKdSKwhTVISzyc6rw', "Three's Company Catering")
('jF4TNrr03o1y6PNwC-TwFg', 'Chick-fil-A')
('Kbidfh24_7-a380tovQeYA', 'Bahía Centroamerica Restaurant')
('kfWnqsMYZSkhpcAhnjqCWA', 'Le Piment Szechuan')
('M5jKFdL0vLcBzdPh-mLnAQ', 'Bar Smith')
('xVIqjnFw4TfLH_dCLFovQQ', "The Butcher's Pantry")
('LmyysENQBd2AgnDBE90cXA', 'Rockin R Ranch')
('LBd-Fir6JzcpV9uml3G19w', 'Hani Fine Foods and Bakery')
('48FexP3dPCIKi144-kYHGQ', 'Olive & Ivy')
('7nnP0vXUcd9YBZzNrBCW5A', 'Patois Jamaican Food Restaurant')
('MaiEFfOd1btsTt2vBTMfZQ', 'Blvd Pub & Kitchen')
('NDjxiIYJWEfnM3DfggZo5g', 'Pomodoro Italian Kitchen')
('NUh5L9ZX-YrM5uAKhKQXoQ', 'Moon Valley Grill')
('J9BmILDpV1Pr3GKU9XhjTQ', 'Little India Restaurant')
('HuHWoQ2mCRR6Cn0bear9Sw', 'Scéna')
('OpMGaD7tsUZzt19mfICO4A', '180g')
('AMxxi7jyxhcdNF7FIRbUVA', "Remington's Restaurant")
('66DKb6APF96InEKrUVIbZw', 'Allo Inde')
('1_qcKXfm8H8zecygxHjeWw', 'KFC')
('AtRlBhNjbdTEzHRzlHpcJg', 'Black Apron Cuisine')
('xh29KAEP37feKTPZzPu0dA', 'Crescent Moon')
('pvcEAF7v6heTC0aFXogHYA', 'La Quina Rotisserie')
('-49WY_TEa9ZEcRk_GnuLog', 'Cracker Barrel Old Country Store')
('ceBdedLgJs8NmiDJZ8S4Rw', 'Espace Pépin Maison')
('08tccUW_LFTInJD9l56Ghw', 'Revitasize')
('kUIQabW7lPJfzhhmlGpj4A', 'The Brass Monkey')
('GmMZG6dsDqGVC275ZwD-cw', 'Sana')
('CMdfStxi0thj-ZLa8qD3hQ', "Kwame's Fusion")
('WfB_SsYeKy83QQsqAAyGVQ', 'Cancun Bar & Grill')
('IJSu7R5hDqX03Fvh8XoUiw', 'The Grille')
('vstifTjwsVFXc1aprX9_iQ', "Raising Cane's")
('Z0PvhaSGgR5NsoXctsUa5A', 'Kaleidoscope Juice')
('WS9BUR9E1I6JIIP_OTDkLg', 'Upper Deck Grill and Sports Lounge')
('Bgpo2QNx0NyrUnmDcWxenw', 'Allô! Mon Coco')
('ZD0ejPNCqrPiubY_9EWNlQ', "Harry's Stone Grill")
('FiGMvTi7o6A0Ki1LZXrI_g', 'Rôtisserie Scores')
('39nJBipHiWpGzRUTtDCzFA', 'Loco Leprechaun')
('4FE9FM8uvn9CV76Bxfxogw', 'T&T Roti Trinidad & Toronto Roti')
('Ligew2FOsgwSZ_NNivc0DA', "Domino's Pizza")
('3sEOltqZs1cjRA4Pqkm_AQ', 'Bar 145 - Avon')
('l1GJnB9TJgGgEeI4at1M0A', 'El Frescos Cocina Mexicana')
('J2nCJBrGn4EQT1abnBHaUQ', 'Five Star Tavern')
('JWOYA3FC2RlHl7v2bLzD5A', 'Holy Joes Meats & More')
('QF4tRJ-ot7dYwebAsn0seg', 'Mengrai Thai')
('1qmsZxZZWvRsy5Z31MKerQ', 'Charlotte Restaurant Week')
('U9iNEzBVCsPLrzoJOwa32Q', 'QDOBA Mexican Eats')
('6-gRHn1n11ATqWBrFTLnNA', 'Great American  Pub')
('fBcD8X5rFz5ozn23dabn8g', "Tina's Grill")
('aiJJ77WpH30rykAA8Nve7w', 'Africana Bbq Curries Drinks')
('yqqXDVl7ZJaiDDbuCFXqMg', 'Dillons KC BBQ')
('X_XFv1Ct6cznxQy9u8Yzxw', 'The Smiling Moose')
('0ZZIqTdEb7yUa13QZLKuGQ', '21 Lounge & Kitchen')
('EATHkJPUJw3Xs1oSkZTZkg', "Marie Callender's Catering")
('p8qk36_xEXhICe91tfUpPA', "Brad's Place")
('3fs1mnE8iZJGgpezaFHaIg', 'Urbane Manner')
('Ad9ttReuFnab0EkAv9F0dg', 'Xaymaca Restaurant')
('SSOIXua3y15nIwB7EBnYUg', 'Generation Restaurant Supply')
('XFXkImvmUFUERCuZeiuZtw', 'Twin Peaks')
('mMoOtnrOEKqRrcWJikM9xg', 'Rocky Rococo Pan Style Pizza - Sun Prairie')
('Ay2hfgpp8kELkwy76BRWLQ', 'The Boneyard Beer Farm & Mesquite Grill')
('RMDh7sP27mHdmy_urulwAg', 'Gasthaus Zur Quelle')
('vG1vX6vvyK6st5UWetPPeg', "Dotty's #1")
('zYbEKtLeosxhTzF4zSRIyA', "Rumi's Market and Deli")
('mQkVFNSDpD4frPUMycVoWw', 'Solstice Restaurant & Wine Bar')
('ny7A6rh6MWT_T-cglqX7mQ', 'Allstars Bar & Grill')
('03eJ6dfI2P5T-ADdsNpHZg', "Sandra Dee's Catering")
('Aol8whdcT7BfnhUCnfa1lw', 'Étoile des Indes')
('RGMLAOPHFTkPKyve5CrOtg', 'Celtic Cellar - The Unicorn')
('aldKu_hTFdJJhYwv6Fy3tQ', "George's Tastee")
('kaBMd8sgJvOh5CAgsP106g', "Chef's Depot")
('3_pqjWhP3js9AQy3Ktm2uw', 'Shoxs Billiard Lounge')
('mrCOQuRY60xAMkQVSf3nCA', "Parnell's Irish Pub")
('dryad6tDgaGc-WsUUgPbfw', 'St. Louis Bar & Grill')
('vDhifJNAtVFGjqJM5hFQkg', 'Texas Station Gambling Hall & Hotel')
('BbywXzvF8CGg0BBHoXvg4Q', 'The New York Butcher Shoppe')
('cSLf78pjkCIy0tQdQs089Q', 'Made Foods')
('Xdq85F77l3obo0SfuNtNQA', 'Switch')
('1XZvpncC5qC9bQ4rPquUmQ', 'Canyon Public House')
('Hrbpc-sNfKh30T_tLNpRgQ', 'Lynx Ridge Golf Club')
('G4X5w5vRQNEFUmrJo6JakA', "McFadden's Restaurant & Saloon")
('FhwytOHcfsnYM4p1rInjZQ', 'Greystone Pub')
('ca3EcQk-cRmfTXixNAT8jg', 'PFK')
('Aq4bCSpn6rWRNDWfHh2WfA', 'Hooters')
('5nIh8sUPZo3FSs-703VZmg', 'Miura Grill Express')
('KvWtJUUT_nEGfWJ2u7wbdw', 'The Fry')
('Gu5wXioZZkkc6xiGHh7xZQ', "Willy's Jerk")
('hbkEMFfZ6_-gYB6nddZ5BQ', 'Chick-fil-A')
('RxcTHjsaDc0h82nk2Qc1PA', 'Sunny Asian Food')
('lCxtNddU4aDWMCgnzRYbsw', 'Paldo Market')
('dupc1Q5bl1gwTheS1ZqEig', 'SuperBook Deli')
('wi3Mo5Xiq7fPWLRyzjk6Pg', 'Salt & Pepper Restaurante Mexicano')
('hiIc3UeDYlWsoT8D3FsczQ', 'Monkey Bar And Grill')
('akRtfcCezswizRIaAqJ4fQ', 'KFC')
('A6Wwl1JWNvm0g0zMaSRRbw', 'Giant Eagle Legacy Village')
('VL2kMatWKKbvujuoLQPp0w', 'Gramps & Elaine Roti Place Restaurant')
('93J_fudzHpMOB-Ksodlg4Q', "Mr. Schnapp's")
('-zVXeHiaASZg8Gwst5209A', "Nicastro's Public House")
('_kdpjoGrIzA64E6aXHA66w', 'Barcelona Tapas')
('lUcSe9mjppbAa8510xj0Tg', 'Chick-fil-A')
('aiU0FRtHTIHBWMYapw79LA', 'The Reddstone')
('ueN-Y7p_fiRDSXeD9be14A', 'Lotus Bar & Grill')
('48OziBJNzqGF57O4h7AYJw', 'Spudniks')
('zjZbVmI5FGQflHL6rRMxoA', 'Corned Beef House')
('IDJwHQqQePBqIWX3723Ing', 'Sora Sushi Bar')
('jPRkGwTUdiBhAomL7FH_xA', 'Rôtisserie St-Hubert')
('5Zc41a446gV3K_o7CDs69Q', 'Riviera Hotel & Casino')
('j355XjMOiu4WN14dfe3eyw', 'Talerico')
('gvM3YlaP8HWenylTkGFYUw', 'Toronto BBQ and Beer')
('0qh5uSAUDcVzC6hoPsAPvA', 'Chick-fil-A')
('wwnuIvnVLgpEZOKzcdfDhw', 'Cranberry Creek Catering & Cafe')
('-q-9ZxIi-pQ9vNAtEkvkYA', 'Pjays Take Out')
('V7vrXl_1-8dCwNXP7tua1Q', 'India Paan')
('YLoe55YfGU3kpJJEP_uDEA', 'Popeyes Louisiana Kitchen')
('nyLHFPxEoMfzrs3g7hAsVg', 'Southside Restaurant and Bar')
('33vbsWfLBMhndeE3jZiFrQ', 'Pandore')
('iJrtc5SiTl0xUzDsXSh-Rg', 'Poissonnerie & Restaurant Rayan')
('oJ2tuAoAfk88Tp8OIsskLA', "Bojangles' Famous Chicken 'n Biscuits")
('gUTz4Y3GIPq8zq1Mi-kHzw', 'KFC')
('gGqppHYDpINGjRb8ru-dsA', 'Imperial Hawaiian Luau')
('jvSaFzdXn9mtY-emdaoCSw', "Karim's Cobbler Shop & Deli")
('MatGnwADyILP8utonlTWDg', "Dave & Buster's")
('1PQzTopufAMDpx0HHBFeRA', 'The Real Jerk')
('E5R5l-wzFWeyiyUILKTnwg', 'Amantea Italian Restaurant and Market')
('4ZbRwCB9oGibxK21MUZKHA', "Smith's")
('BdzJQypceJ5Bam2P7egoiw', 'Mr Poké Bowls & Rolls')
('xT_xzBj-CmxdXdcx6ONGLA', 'Phoenix Resto Pub')
('wbqtP_EvXqoNnpErsGkEBA', 'Mississauga Grill')
('HzV-HumF0lauBXlxUh-YDQ', 'Taqueria Don Beto')
('Qf83EYNJAXjnM2V-BnZHrQ', 'Hooters')
('jQwvJI2J4MW0E9Rz5oA6mA', "Nino's Italian Bakery & Deli")
('slU8IHbHk0JAuLttTdHIHQ', 'Krazy Jerk')
('k9AaulyfonmUlkmI3uMiQQ', 'Capitol Trattoria Pizzeria')
('LcvYvogGv-VBZvV57HhY5Q', 'Mnandi Pies')
('TQp5cls3bgIUZZRSC4g1pQ', 'Gushi Japanese Street Food')
('P8BE9zzM-pUuPDHs6gsy2Q', 'San Gennaro')
('LjOBNcNNpuewBqSPxYYTJQ', "Amélie's French Bakery & Café")
('VahVKCDFougCFlWH87OYZQ', 'Village Pub & Poker')
('KKoccufmPJ9oNZ2pjtSLJA', 'Les Impertinentes')
('TWD_XvPOqJSZlBCAU917NA', 'Roosters Edge')
('oRy013Ovh_RtEouO-rGX2A', "Veggie D'Light")
('H-xe5Q4APIeQ-GCKvZ-odQ', 'Bob Evans')
('7BoXrkEw-b98Wi1EaSH3HA', "Tasty's Caribbean Restaurant")
('RHxhM0GLk2iTUsOINNzkqg', 'All Star Sports Bar And Grill')
('Ih6diCiv5JljypBdv1C7CA', 'Boxcar Cafe')
('zC-RnKVTlGEBmzCngDzp0Q', 'Korean Cowboy')
('WRrtV2350YbNMPXrx6vEHg', 'R Corner Diner')
('qsHWUkAGB4rmfbAIzxCN8g', 'Wow Chicken Chinatown')
('hBqp4v9iKsM-6i56v0MBuQ', 'St. Louis Bar & Grill')
('QBBZ3KG9fPDJYxOGnAPNMQ', 'International Sports Bar')
('Uyo8lP5o1aRO3UdPBOUyoA', 'Desi Dera')
('NmXB2KhGXHKMCMAKILpCCA', "Eulalie's Corner Store")
('rTS8LsUmNIiXsXydE49tPA', 'Margaritaville')
('Uw-kIS3HTuAohfg0edQZ3Q', 'Joy Bistro')
('-JgxoIIxZf0q-PGD7P96Fg', 'Viaduct Lounge')
('fZM_o3kKZ9mR-1pvBeow8A', 'Tempe Marketplace')
('UsFFaNUWG5u7f9rHpJBHRQ', "Domino's Pizza")
('OYlMAz-kJpNXLtS5oaYUNA', 'Chick-fil-A')
('F9_VdKmPyvEcqWSVVGkNNA', "Hurley's Irish Pub")
('9mYjIQ-9DKMuR8kM5M2gtw', 'Chick-fil-A')
('94BEy7wGKmrOC7sjSHMisw', 'Charlies  Lakeside Restaurant & Lounge')
('n8Zqqhff-2cxzWt_nwhU2Q', 'Public School 702')
('bF8gv7k_rwZtiDLP2ZB04w', 'Scottsdale Mondrian')
('GyJv9dkd5nmpgSSJgDtsnQ', 'KFC')
('ypYuEglLHDHR1cyG305TwQ', 'Harper Valley Air')
('ByyMZI6YHeBuYlAeQ7DaEw', 'Nile Ethiopian Restaurant & Grocery')
('8lZtLSeJVg28Gb75iklmmQ', 'East Side Pizza')
('WnUttoJffplgWaQGR2J2Xw', 'The Saint Tavern')
('9vE7zB60qhDw25IG0KUi7g', 'Architectural Justice Gallery & Cafe')
('qDM-yZ9320Vkkt97UG1uqw', 'Maison Publique')
('I1AAcPjqCB6iD5aQcm6kjg', 'Golden Inn Restaurant')
('V7nossAF0dFj_mSPYj6SSQ', 'Buffalo Wild Wings')
('-RN70NJDP02wVcrg5yPO8Q', 'The Hangar Food and Spirits')
('yCstxbTqAbdBKr4jDjMGFA', 'Vesuvio Ristorante')
('8REOSFVMO-E1VrmLvY49Tg', 'Home-Made Ice Cream')
('75HVFV2yYaaz0qH_KCgyFQ', 'The Siddhartha')
('yTur95e-pqQCYGGyVp6rAw', 'Mekong Plaza')
('_IeVVmUIO8R3_nS-88A9AA', 'Island Spice')
('ibNxVcSE7peefvDUGEFvzQ', 'Cider House')
('Rwi2WrlF69zZ0eReTXF4jA', 'Red Mouse')
('nepZ1HPAgBqw0TgJWbSgOA', 'Sin City Smokers Barbecue and Catering')
('sEAKw3MZkER1u_1fzIeD3g', 'Gol Take-Out')
('ovB8CTMCU6RTB9xTrOT_kA', "Leia's Lunchbox")
('E3BTs8yFlVbZd20TknY00A', "Jim 'N Nick's Bar-B-Q")
('Q2xmQsHQHNkZsWoXHZ8l5A', 'Acqua Dolce')
('JWDiG0nSsM7GQ9QFRTxU9w', "Glazier's Food Marketplace")
('waYydA213E6kkvmSMeNoCA', 'Kusina Ni Lorraine')
('Mw77SD8EWVR1z0aABEOpTA', 'KFC')
('C_MKyyEaJVUTldNujrnTZQ', 'Hot Star Large Fried Chicken')
('9f68hfHK6gNyHWmt9guiJw', 'Mariscos Vallarta')
('hfgcYtGziLl5bGbc89BTkQ', "Geo's tacos")
('jVaDrytDdOmkQX9moPWHTA', 'The Burgh Bites Truck')
('1ru9ZnIcSXKtD-jQoxLzNg', 'Freiburg Gastropub')
('kH8BdX2FEdREBXfeDsgjYw', 'Dim And Den Sum')
('ihfRQ2MMIrsj9a5fwXp5hw', 'Greenock Deli')
('O4TYqnhpXpyrgJBkucaeaw', 'KFC')
('bYw7mT1e3frkxG0nd2_mjg', "Lucky Cheng's Restaurant")
('nD_7R5bVxRYNHKv_dGlhBA', 'Timbers Rancho')
('cjOTiM029haRXhfUAZrZ7A', 'Bidon Taverne Culinaire')
('r--NbDxpYYZLK0GHl2eQFA', 'The Barn - Public House')
('ObcMSGc1uotvpnwydoStIg', "Earl's Grocery")
('eBoRFMm14n6Bte5vJIaeSg', 'Buffalo Wild Wings')
('Z1EMKsow2XgbgVYoGbX20g', 'Pizzario Phoenix')
('4StF_ulPu-3G7B1dzarL4Q', 'Jilbert Winery')
('qwq1qZ95QUakBl2L7fw_ug', 'Shahi Tandoor')
('Co1cnSA3o3sSNdsGbItXSw', "McDonald's")
('ZjXwoLeep7P_PTMwiExZuQ', 'Noodles & Company')
('s-S2xzhmyWw7TUDet7WBnQ', 'Front Street Foods')
('aSn4fgpq-3FDfvVG2bjv3A', 'KFC')
('4g_DBOk8h0A5DrdGlcv02A', 'Arepas Grill')
('E-DyJWXjao8lyTw3xvXY-Q', 'Apna Bazaar Indian Groceries')
('nFikPH1pjWY1m__4ZNfV9w', 'Thymeless Bar & Grill')
('66MT1BxbarD_0CzkwQ1--A', "R.T. O'Sullivan's")
('aFJ4gxtATZDuLLX6i0gb6Q', 'Simply Good Eats')
('5LJ6wKhh7zuJn4XNei9rQA', 'W XYZ Bar')
('qqs7LP4TXAoOrSlaKRfz3A', 'DW Bistro')
('d2VIjNbJpJterw--jU-hUQ', 'Da House Of Jerk')
('-yQHIYKXH3HAdhh1W52OMQ', 'Short Leash Hotdogs & Rollover Doughnuts')
('YdRSx-i6uidsAO04GRMQVw', 'Safeway')
('b04Z16vAIzzk2CAeDLBmYA', "Hoosier Daddy's BBQ")
('82bfom6b5BQlnnd4m3wwew', 'Desert Finds')
('9p80iZvVnZdw9U5wtDyp4Q', 'HoneyBaked Ham')
('HydeoGB88e3viMrqBcHIEg', "Ernie's Caribbean Restaurant")
('_PQ1cKw_ZtKrXNxCMgIeYA', 'Jalisco Cantina')
('UiLrSPbrlY94Gwyymy1-hw', 'Smoothie King')
('WKuHvpOCBbnCJkI5ngjYsg', 'Daltons Steak & Seafood')
('QJf992yAgUpNeFMuTTPQ1A', 'HotBlack Coffee')
('9YiQ3o0EGmtojzjXdEfgeQ', 'The Green Regime')
('g9zm0uJiyINoiOz7oT7f8w', 'Golden Cook Caribbean Restaurant')
('8z5yR4GrOmdhy9RvNt_Djg', 'TastyBunz')
('HlYzk84INQaNslFT-lyBFw', "Applebee's Grill + Bar")
('0EcCWB9_VxTOoAh_1Wr_RQ', 'Blue Line Grille')
('LWgaRojEN8a-V6yxORo7yQ', 'Poke Poku Hawaiian Poke Bar')
('UTU4wNXX8iqz0R4NgOlnDg', 'Thai Orchid Restaurant')
('-plmjUoC1d-tZcVbp0zMqw', 'Hickory Tavern')
('R5wclscVlxWOJXMlAEFVkw', "Salsarita's Fresh Mexican Grill")
('NsWc7zJG5PN_frYqMOa9mQ', 'Riverview Raw Bar and Chill')
('4m_hApwQ054v3ue_OxFmGw', 'Patria')
('iZ9jRY8QHwoKDinRAX0N6g', 'Donair Palace')
('PyjnsWzNUTo1n2ohq0QznA', 'Dirty Food Eatery')
('Ic3YMUPg_DCNpp4y3B-2bw', 'KFC')
('P8rCpSJ4uWNE__pypJsgGA', 'Nacho Libre')
('VjCCYw6rCpe-MCPvJJ9YsQ', "Beef 'O' Brady's")
('oWQwUw8xfQgi1nVNKgS6vA', 'Silvercreek')
('JTBxVGHe_fPZkfBN_EkA1Q', "Emery's  La Barrista Catering Ii")
('DKnStp3UnkY6-fiZHMp8yw', "Olly Fresco's")
('kUtfprUGDbfEaUlc1bk2Jg', "Lesley's Creative Cakes")
('n-BoGXG2NItNbr_PMtIRBg', "Amalfi's Pasta 'n' Pizza")
('BB-Ab0rwYk6aclOn9SMVmg', 'Blue Dogs Pub')
('4E0sK671C98JW8nakFbUnQ', 'Chick-fil-A')
('Yrr4Kizq-VKoWTvqS5lmew', 'The Tap')
('74gDxr6rs_8tUTcS1vkr0Q', 'James Street Gastropub & Speakeasy')
('XM2qN3PiQbfSYo6zmHgSlQ', "Gillespie's Map Room")
('299zxPD5gd-mB00nBsKJuQ', 'The Dizzy')
('3C0bnFhjkgYP9mWORKg6cA', 'Chili Man')
('kbNXYS9HljjLf-X8WaaCCg', "Vintner's Hill")
('nFesIguvEF_h5h7lNSn__w', 'Old Vegas Tavern')
('AhCQKemNBBTH8xToQ1yUZA', "Domino's Pizza")
('QbtJvTQfTFbPqBhjkI59BA', 'Zipps Sports Grill')
('4Bbogp0r1TYihNS5Ek9Cjg', 'Buffalo Wild Wings')
('0EpnzIpeFvhISkxMTIv9WA', 'Paradise Place Jamaican Cuisine')
('KtSEqZbGV1WHgOgtSMEZFQ', 'Capocaccia Trattoria')
('aarBX0VyJbjMACGCcMrfEQ', 'Get Grill')
('TdBC5PlJleNyfABjsPt00w', 'Common Pasta')
('Y_3wdqZUoi8qyW7ZugIQNw', 'Chick-fil-A')
('0BWOyHwNu4Bwtzl0i56Umg', 'Aussie Rules')
('wRJQdkMCbvIj269WjXtuyQ', 'White Horse Inn')
('DoCnI75tpJYvlojTMYs2tg', "Shane's Rib Shack")
